행사명,날짜,시작 시간,끝나는 시간,호선,역명,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,영등포구청,하차,126,570,1591,5561,2354,1025,873,816,862,807,888,1104,1478,2223,1484,791,703,685,536,335.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,영등포구청,하차,97,370,326,646,771,963,961,1036,807,926,833,904,904,809,593,529,502,490,512,47.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,영등포구청,하차,59,201,177,352,389,681,614,658,630,584,558,581,679,570,473,444,470,373,294,24.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,영등포구청,하차,111,557,1550,5647,2218,944,818,730,904,893,901,1163,1514,2373,1489,764,753,646,558,292.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,영등포구청,하차,108,421,334,595,805,980,1050,1092,1090,933,916,1010,1108,927,608,566,592,539,467,27.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,영등포구청,하차,53,227,174,333,372,582,627,632,597,450,550,631,680,466,428,435,451,374,258,8.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,영등포구청,하차,194,633,375,763,888,1079,1330,1272,1172,1303,1208,1182,1470,1428,954,775,735,705,578,168.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,영등포구청,하차,99,419,225,411,446,738,775,816,776,711,781,756,823,757,568,528,606,518,387,20.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,영등포구청,하차,118,672,1449,6243,2616,1073,1010,1032,1003,1021,1027,1176,1504,2555,1843,996,983,921,572,244.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,영등포구청,하차,82,321,384,714,755,721,850,963,903,928,845,991,1389,1087,806,673,671,668,519,97.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,영등포구청,하차,58,209,173,302,433,507,481,512,528,625,570,585,645,612,563,510,542,461,353,8.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,영등포구청,하차,137,535,466,768,867,859,933,1047,1018,958,876,1008,1136,1131,775,656,682,671,569,110.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,영등포구청,하차,163,484,404,818,845,791,839,901,1033,993,963,1181,1266,1200,878,737,709,731,676,120.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,영등포구청,하차,66,279,177,294,420,474,460,458,536,620,707,734,772,707,616,592,581,545,399,14.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,당산,하차,101,337,323,654,680,738,913,1006,977,1023,1028,1237,1395,1110,898,970,958,852,812,50.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,당산,하차,57,294,248,381,519,538,579,677,711,601,677,741,894,888,769,703,670,600,449,19.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,당산,하차,109,496,1255,3256,1476,668,621,639,732,760,878,1141,1785,2973,1958,1103,1117,1121,878,396.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,당산,하차,86,357,342,606,659,591,675,791,850,793,813,1040,1140,1093,876,835,820,856,803,39.0
